src-text	src-lang	tgt-text	tgt-lang	tgt-lang-var
Anolis	deu	Gekkonidae	ces	106
Agama	deu	Gekkonidae	ces	106
Agamidae	deu	Gekkonidae	ces	106
Echse	deu	Gekkonidae	ces	106
Gekkonidae	deu	Gekkonidae	ces	106
Iguanidae	deu	Gekkonidae	ces	106
Lacertidae	deu	Gekkonidae	ces	106
Sauria	deu	Gekkonidae	ces	106
Varanidae	deu	Gekkonidae	ces	106
Varanus	deu	Gekkonidae	ces	106
agamidae	eng	Gekkonidae	ces	106
gekkonidae	eng	Gekkonidae	ces	106
iguanidae	eng	Gekkonidae	ces	106
lacertidae	eng	Gekkonidae	ces	106
sauria	eng	Gekkonidae	ces	106
varanidae	eng	Gekkonidae	ces	106
varanus	eng	Gekkonidae	ces	106
agama	fra	Gekkonidae	ces	106
agamidae	fra	Gekkonidae	ces	106
gekkonidae	fra	Gekkonidae	ces	106
iguanidae	fra	Gekkonidae	ces	106
lacertidae	fra	Gekkonidae	ces	106
sauria	fra	Gekkonidae	ces	106
varanidae	fra	Gekkonidae	ces	106
varanus	fra	Gekkonidae	ces	106
agama	spa	Gekkonidae	ces	106
agamidae	spa	Gekkonidae	ces	106
anolis	spa	Gekkonidae	ces	106
gekkonidae	spa	Gekkonidae	ces	106
iguanidae	spa	Gekkonidae	ces	106
lacertidae	spa	Gekkonidae	ces	106
sauria	spa	Gekkonidae	ces	106
varanidae	spa	Gekkonidae	ces	106
varanus	spa	Gekkonidae	ces	106
chrétien	fra	Gój	ces	106
христианин	rus	Gój	ces	106
Hebrew	eng	Hebrejský	ces	106
Hebrew	eng	Hebrejský	ces	106
Hebrew	eng	Hebrejský	ces	106
Hebrew	eng	Hebrejec	ces	106
Hebrew	eng	Hebrejec	ces	106
Hebrew	eng	Hebrejec	ces	106
Hebrew	eng	Hebrejec	ces	106
Hebrew	eng	Hebrejština	ces	106
Hebrew	eng	Hebrejština-language	ces	106
Taube	deu	Holubice	ces	106
Taube	deu	Holubice	ces	106
Taube	deu	Holubice	ces	106
navigateur	fra	Honza	ces	106
navigateur	fra	Honzík	ces	106
Horn	deu	Horn	ces	106
Señor	spa	Hospodin	ces	106
agama	eng	Iguanidae	ces	106
lizards	eng	Iguanidae	ces	106
lagartija	spa	Iguanidae	ces	106
lagarto	spa	Iguanidae	ces	106
anolis	eng	Iguanidae	ces	106
anolis	fra	Iguanidae	ces	106
lézard	fra	Iguanidae	ces	106
Anolis	deu	Iguanidae	ces	106
Agama	deu	Iguanidae	ces	106
Agamidae	deu	Iguanidae	ces	106
Echse	deu	Iguanidae	ces	106
Gekkonidae	deu	Iguanidae	ces	106
Iguanidae	deu	Iguanidae	ces	106
Lacertidae	deu	Iguanidae	ces	106
Sauria	deu	Iguanidae	ces	106
Varanidae	deu	Iguanidae	ces	106
Varanus	deu	Iguanidae	ces	106
agamidae	eng	Iguanidae	ces	106
gekkonidae	eng	Iguanidae	ces	106
iguanidae	eng	Iguanidae	ces	106
lacertidae	eng	Iguanidae	ces	106
sauria	eng	Iguanidae	ces	106
varanidae	eng	Iguanidae	ces	106
varanus	eng	Iguanidae	ces	106
agama	fra	Iguanidae	ces	106
agamidae	fra	Iguanidae	ces	106
gekkonidae	fra	Iguanidae	ces	106
iguanidae	fra	Iguanidae	ces	106
lacertidae	fra	Iguanidae	ces	106
sauria	fra	Iguanidae	ces	106
varanidae	fra	Iguanidae	ces	106
varanus	fra	Iguanidae	ces	106
agama	spa	Iguanidae	ces	106
agamidae	spa	Iguanidae	ces	106
anolis	spa	Iguanidae	ces	106
gekkonidae	spa	Iguanidae	ces	106
iguanidae	spa	Iguanidae	ces	106
lacertidae	spa	Iguanidae	ces	106
sauria	spa	Iguanidae	ces	106
varanidae	spa	Iguanidae	ces	106
varanus	spa	Iguanidae	ces	106
Indian	eng	Ind	ces	106
Indian	eng	Ind	ces	106
Indien	fra	Ind	ces	106
Indian	eng	Ind	ces	106
Indian	eng	Ind	ces	106
Indien	fra	Ind	ces	106
Indienne	fra	Ind	ces	106
индиа́нка	rus	Ind	ces	106
indio	spa	Ind	ces	106
indio	spa	Ind	ces	106
Indian	eng	Ind	ces	106
Indien	fra	Ind	ces	106
Indienne	fra	Ind	ces	106
индианка	rus	Ind	ces	106
Indien	fra	Ind	ces	106
Indian	eng	Ind	ces	106
индианка	rus	Ind	ces	106
indio	spa	Ind	ces	106
Indian	eng	Ind	ces	106
indio	spa	Ind	ces	106
Indian	eng	Indický oceán	ces	106
Indian	eng	Indický oceán	ces	106
Indianer	deu	Indián	ces	106
Indiaan	nld	Indián	ces	106
Indien	fra	Indián	ces	106
indio	spa	Indián	ces	106
Indian	eng	Indián	ces	106
Indianer	deu	Indián	ces	106
Indiaan	nld	Indián	ces	106
Indien	fra	Indián	ces	106
Indianer	deu	Indián	ces	106
Indien	fra	Indián	ces	106
indio	spa	Indián	ces	106
Indian	eng	Indián	ces	106
Indian	eng	Indián	ces	106
Indien	fra	Indián	ces	106
indio	spa	Indián	ces	106
Indianer	deu	Indián	ces	106
Amérindien	fra	Indián	ces	106
Indiaan	nld	Indián	ces	106
Indien	fra	Indián	ces	106
Indian	eng	Indián	ces	106
Indiaan	nld	Indián	ces	106
индианка	rus	Indka	ces	106
индианка	rus	Indka	ces	106
Indienne	fra	Indka	ces	106
Indian	eng	Indka	ces	106
Indien	fra	Indka	ces	106
Indienne	fra	Indka	ces	106
индиа́нка	rus	Indka	ces	106
indio	spa	Indka	ces	106
Indien	fra	Indka	ces	106
Indian	eng	Indka	ces	106
индианка	rus	Indka	ces	106
indio	spa	Indka	ces	106
Indian	eng	Indka	ces	106
индианка	rus	Indiánka	ces	106
-	deu	Itálie	ces	106
израильтянка	rus	Izraelec	ces	106
израильтянка	rus	Izraelec	ces	106
израильтянка	rus	Izraelka	ces	106
израильтянка	rus	Izraelka	ces	106
израильтянка	rus	Izraelština	ces	106
-	deu	Japonsko	ces	106
jood	nld	Jew	ces	106
Jew	eng	Jew	ces	106
Jungfrau	deu	Jungfrau	ces	106
Kanal	deu	Kanál	ces	106
канал	rus	Kanál	ces	106
Caucasian	eng	Kavkazan	ces	106
Caucasian	eng	Kavkazan	ces	106
Caucasian	eng	Kavkazan	ces	106
canguro	spa	Klokanovití	ces	106
Christian	eng	Kristián	ces	106
Christian	deu	Kristián	ces	106
Christiaan	nld	Kristián	ces	106
Christian	eng	Kristián	ces	106
Christian	eng	Kristián	ces	106
christelijk	nld	Kristián	ces	106
Christian	eng	Kristián	ces	106
Christian	eng	Kristián	ces	106
Christian	deu	Kristián	ces	106
Christian	fra	Kristián	ces	106
Christiaan	nld	Kristián	ces	106
Cristián	spa	Kristián	ces	106
Christian	fra	Kristián	ces	106
Christian	deu	Kristián	ces	106
Christian	eng	Kristián	ces	106
Christiaan	nld	Kristián	ces	106
Cristián	spa	Kristián	ces	106
Christian	fra	Kristián	ces	106
Cristián	spa	Kristián	ces	106
Christ	deu	Kristián	ces	106
Christian	deu	Kristián	ces	106
Christin	deu	Kristián	ces	106
Manichaeism	eng	Kristián	ces	106
gentile	eng	Kristián	ces	106
peace offering	eng	Kristián	ces	106
Christian	fra	Kristián	ces	106
Chrétien	fra	Kristián	ces	106
Chrétienne	fra	Kristián	ces	106
chrétien	fra	Kristián	ces	106
Christiaan	nld	Kristián	ces	106
christen	nld	Kristián	ces	106
христианин	rus	Kristián	ces	106
христианка	rus	Kristián	ces	106
Cristián	spa	Kristián	ces	106
Christ	deu	Kristus	ces	106
Cyprian	eng	Kypřan	ces	106
Cyprian	eng	Kypřan	ces	106
Cyprian	eng	Kypřan	ces	106
Cyprian	eng	Kypřan	ces	106
Kreide	deu	Křída	ces	106
Kreide	deu	Křída	ces	106
agama	eng	Lacertidae	ces	106
lizards	eng	Lacertidae	ces	106
lagartija	spa	Lacertidae	ces	106
lagarto	spa	Lacertidae	ces	106
anolis	eng	Lacertidae	ces	106
anolis	fra	Lacertidae	ces	106
lézard	fra	Lacertidae	ces	106
Anolis	deu	Lacertidae	ces	106
Agama	deu	Lacertidae	ces	106
Agamidae	deu	Lacertidae	ces	106
Echse	deu	Lacertidae	ces	106
Gekkonidae	deu	Lacertidae	ces	106
Iguanidae	deu	Lacertidae	ces	106
Lacertidae	deu	Lacertidae	ces	106
Sauria	deu	Lacertidae	ces	106
Varanidae	deu	Lacertidae	ces	106
Varanus	deu	Lacertidae	ces	106
agamidae	eng	Lacertidae	ces	106
gekkonidae	eng	Lacertidae	ces	106
iguanidae	eng	Lacertidae	ces	106
lacertidae	eng	Lacertidae	ces	106
sauria	eng	Lacertidae	ces	106
varanidae	eng	Lacertidae	ces	106
varanus	eng	Lacertidae	ces	106
agama	fra	Lacertidae	ces	106
agamidae	fra	Lacertidae	ces	106
gekkonidae	fra	Lacertidae	ces	106
iguanidae	fra	Lacertidae	ces	106
lacertidae	fra	Lacertidae	ces	106
sauria	fra	Lacertidae	ces	106
varanidae	fra	Lacertidae	ces	106
